age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_model,auto_year,fraud_reported
38,1994-09-12,IL,250/500,1000,7.27137703783149,0,437889,FEMALE,College,transport-moving,chess,not-in-family,0,0,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,PA,Northbrook,6,3,?,0,2,NO,53730,Dodge,RAM,2013,Y
60,1997-07-07,IL,100/300,2000,7.174594132910436,0,473638,FEMALE,College,other-service,cross-fit,husband,0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Arlington,18,1,NO,0,0,NO,60600,Honda,Civic,2001,N
48,1991-03-01,OH,250/500,1000,7.064588073008926,0,444232,FEMALE,JD,tech-support,movies,other-relative,0,-42400,2015-02-28,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,11,1,?,0,3,YES,35750,Mercedes,E400,2001,N
27,2001-09-29,IN,100/300,1000,7.061308637591448,0,477695,FEMALE,College,adm-clerical,exercise,wife,43000,-42500,2015-01-17,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Arlington,17,1,?,1,2,YES,42840,Chevrolet,Silverado,2004,N
39,2012-01-10,IL,250/500,1000,7.117789274342628,0,458237,MALE,High School,armed-forces,hiking,own-child,87800,-51200,2015-02-09,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,21,3,?,1,0,NO,87960,Jeep,Wrangler,1999,Y
41,2001-07-05,IL,250/500,2000,7.496519243948716,0,441499,MALE,JD,protective-serv,camping,other-relative,0,-78600,2015-01-14,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Hillsdale,0,3,NO,1,0,NO,47800,Jeep,Grand Cherokee,2009,N
43,1991-08-07,IL,500/1000,500,7.08003491739558,7000000,613436,FEMALE,Associate,tech-support,exercise,unmarried,46300,-33000,2015-02-02,Vehicle Theft,?,Trivial Damage,Police,NY,Northbrook,9,1,NO,0,1,?,3840,Chevrolet,Tahoe,2014,N
43,2012-07-24,IN,100/300,1000,7.35265902521416,0,448912,MALE,JD,transport-moving,hiking,own-child,0,-51600,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Riverwood,1,1,NO,0,2,?,77000,Accura,RSX,2004,N
26,2014-07-27,IL,250/500,2000,7.037045189224286,0,468872,FEMALE,PhD,farming-fishing,skydiving,not-in-family,31500,0,2015-01-25,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,22,1,YES,1,3,?,88110,Audi,A5,2003,N
42,1994-08-08,IN,100/300,1000,7.156738102294642,0,619811,MALE,College,farming-fishing,hiking,other-relative,33500,-49500,2015-02-13,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Northbend,20,4,NO,0,2,YES,47740,Honda,Civic,2005,N
30,2001-12-09,OH,100/300,1000,6.681293729193981,0,614166,FEMALE,MD,craft-repair,video-games,own-child,72400,-77000,2015-02-20,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Northbend,9,3,YES,2,1,YES,58960,Ford,F150,2004,N
46,1990-03-14,OH,250/500,500,7.1475750067068775,0,456600,FEMALE,Associate,tech-support,skydiving,own-child,0,-45800,2015-01-08,Parked Car,?,Minor Damage,Police,NC,Northbrook,5,1,NO,1,2,?,2160,Toyota,Corolla,2004,N
26,2006-03-28,IL,100/300,1000,7.232827062402247,0,618405,FEMALE,JD,prof-specialty,exercise,own-child,46700,0,2015-02-28,Vehicle Theft,?,Trivial Damage,Police,SC,Riverwood,12,1,YES,1,1,?,6890,Jeep,Grand Cherokee,1997,N
45,2013-12-23,IL,100/300,2000,7.1637454257012925,5000000,430832,FEMALE,High School,prof-specialty,kayaking,husband,58300,0,2015-02-12,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Springfield,6,3,NO,2,0,YES,78870,Suburu,Legacy,2013,N
47,1991-09-30,IN,100/300,1000,7.104702687971411,0,610989,FEMALE,Masters,sales,basketball,other-relative,55100,0,2015-01-06,Vehicle Theft,?,Trivial Damage,Police,SC,Columbus,8,1,NO,1,1,NO,2700,Ford,F150,2013,N
54,2001-12-27,IL,100/300,500,7.132625339022048,0,447750,FEMALE,Associate,machine-op-inspct,kayaking,not-in-family,41400,0,2015-02-15,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,14,1,?,0,1,NO,75960,Jeep,Grand Cherokee,2010,N
34,2005-04-07,IN,250/500,2000,7.369859036246357,0,608708,FEMALE,High School,sales,video-games,other-relative,33500,-58900,2015-01-20,Single Vehicle Collision,Front Collision,Major Damage,Police,WV,Northbrook,10,1,YES,1,3,?,75570,BMW,X5,2010,Y
48,2003-04-08,IL,500/1000,2000,7.331132339297331,5000000,469650,FEMALE,Masters,sales,exercise,unmarried,0,0,2015-01-03,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Columbus,12,1,?,2,3,YES,90240,Chevrolet,Malibu,1995,N
53,2005-11-14,IN,100/300,1000,6.936770244050662,0,602304,FEMALE,College,prof-specialty,dancing,not-in-family,0,0,2015-01-26,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Springfield,12,1,?,0,0,NO,80960,Accura,MDX,2000,N
38,2005-01-07,IL,100/300,1000,7.350477635446009,0,459878,MALE,PhD,craft-repair,skydiving,own-child,23300,0,2015-01-25,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Riverwood,12,3,NO,1,3,YES,79080,Mercedes,C300,2012,N
49,1994-02-14,IN,500/1000,2000,7.3599576518521665,0,441142,MALE,JD,adm-clerical,paintball,not-in-family,98800,-65300,2015-01-18,Vehicle Theft,?,Minor Damage,Unknown,SC,Columbus,13,1,NO,0,3,NO,6820,Mercedes,ML350,2009,N
42,1996-01-23,OH,100/300,2000,7.066065865814588,0,465667,FEMALE,PhD,armed-forces,sleeping,wife,65000,-49200,2015-01-12,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Northbend,17,3,NO,1,2,YES,62590,Nissan,Pathfinder,2006,N
23,1999-12-12,OH,250/500,1000,7.0039287224307945,0,473109,FEMALE,College,sales,dancing,wife,0,-71900,2015-01-15,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Arlington,14,1,NO,1,0,YES,52400,Accura,MDX,2005,Y
46,2004-07-15,IL,250/500,2000,7.295348295111064,0,619794,MALE,MD,tech-support,basketball,husband,0,-90600,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Arlington,3,3,?,1,3,YES,63580,Volkswagen,Jetta,2004,N
55,2012-11-07,IL,250/500,500,7.151971239313681,0,602258,FEMALE,Associate,priv-house-serv,reading,other-relative,0,-56200,2015-01-23,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Riverwood,18,3,YES,2,1,NO,61400,Nissan,Ultima,1995,N
63,2009-06-29,IL,250/500,1000,7.164952370421198,0,479724,MALE,High School,adm-clerical,paintball,own-child,47600,0,2015-02-21,Parked Car,?,Minor Damage,Unknown,VA,Northbend,5,1,YES,1,3,NO,4700,Dodge,Neon,2007,Y
44,2000-06-26,IN,250/500,2000,6.918071879384088,0,442210,FEMALE,College,prof-specialty,hiking,other-relative,45400,-39400,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,Fire,SC,Riverwood,19,1,NO,0,2,YES,74140,BMW,X5,2015,N
30,2002-01-09,OH,500/1000,500,6.997659966309721,4000000,463291,FEMALE,PhD,other-service,reading,wife,27700,-72400,2015-01-06,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Hillsdale,0,1,?,2,2,NO,83160,Volkswagen,Jetta,2011,N
41,2013-11-11,OH,250/500,1000,7.190253940741763,7000000,474898,FEMALE,JD,farming-fishing,paintball,other-relative,51400,-6300,2015-02-18,Parked Car,?,Trivial Damage,Police,NC,Arlington,22,1,?,0,2,YES,10790,Mercedes,E400,2013,N
31,2008-01-14,IL,100/300,2000,6.925771998768935,0,431354,FEMALE,MD,prof-specialty,paintball,husband,0,0,2015-02-17,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,21,3,YES,1,3,NO,48070,Saab,92x,2014,N
25,2003-03-04,OH,100/300,1000,7.108383246258725,0,617460,FEMALE,Masters,protective-serv,golf,not-in-family,49300,0,2015-01-24,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Northbrook,4,3,YES,0,0,YES,51030,Suburu,Impreza,1996,N
40,1994-06-07,IN,100/300,500,7.564689618203445,0,609317,MALE,MD,prof-specialty,yachting,husband,0,0,2015-01-21,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,Arlington,10,1,YES,0,1,?,43280,Honda,Civic,1996,Y
29,2013-07-04,IN,250/500,1000,6.886807396131098,0,479821,FEMALE,Associate,sales,paintball,own-child,65700,0,2015-02-03,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Hillsdale,5,1,?,1,3,NO,76400,Suburu,Forrestor,2003,N
43,2002-06-30,IN,100/300,2000,7.108358699454104,0,473394,MALE,MD,prof-specialty,board-games,wife,48100,0,2015-01-07,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Hillsdale,13,1,?,0,2,?,75460,Audi,A5,2002,N
50,2004-06-30,OH,100/300,2000,7.1361808558059,0,603882,MALE,MD,armed-forces,polo,unmarried,0,0,2015-02-02,Multi-vehicle Collision,Side Collision,Major Damage,Other,OH,Northbrook,18,3,YES,2,1,YES,69000,Ford,F150,1995,Y
38,1998-12-19,IN,250/500,500,6.908275143828988,0,615229,MALE,JD,tech-support,golf,other-relative,0,0,2015-01-13,Vehicle Theft,?,Minor Damage,Police,VA,Springfield,6,1,?,1,2,NO,8640,Accura,TL,2008,N
29,2014-08-31,OH,250/500,500,7.231207406369623,0,620197,MALE,PhD,armed-forces,dancing,own-child,30000,-53000,2015-02-28,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Arlington,0,3,?,2,1,?,67210,BMW,X6,1996,N
37,2005-11-10,IN,500/1000,500,6.919456551289778,0,438215,MALE,High School,transport-moving,basketball,unmarried,52300,-55600,2015-01-16,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NC,Arlington,5,3,?,0,3,NO,42500,Volkswagen,Jetta,1999,N
53,2000-05-04,OH,100/300,500,7.09577722431217,0,444583,MALE,Associate,armed-forces,basketball,wife,0,-34600,2015-02-01,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Arlington,8,1,YES,0,1,NO,86400,Accura,RSX,2001,N
51,2001-11-26,IL,500/1000,1000,7.331459701546222,0,471866,MALE,Masters,handlers-cleaners,chess,not-in-family,0,-32900,2015-01-30,Vehicle Theft,?,Minor Damage,Police,SC,Hillsdale,5,1,YES,2,2,?,4620,Dodge,RAM,2009,Y
53,2014-05-06,IL,100/300,1000,7.311512262408947,0,616884,FEMALE,High School,tech-support,camping,unmarried,0,0,2015-02-16,Parked Car,?,Trivial Damage,Police,NC,Springfield,9,1,YES,2,2,NO,6930,Honda,CRV,2013,N
40,1991-01-27,IL,100/300,500,7.136642304923413,0,448310,FEMALE,JD,sales,hiking,not-in-family,0,0,2015-01-07,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,10,3,YES,1,2,YES,41700,Saab,95,2013,N
51,1992-04-28,IL,100/300,500,7.146260237409046,0,478902,MALE,Masters,transport-moving,board-games,wife,0,0,2015-01-10,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Northbrook,16,1,YES,2,1,NO,77330,Volkswagen,Jetta,2014,Y
35,2000-03-04,IN,500/1000,2000,7.260234432891888,0,442695,MALE,College,other-service,sleeping,own-child,0,0,2015-01-31,Vehicle Theft,?,Trivial Damage,Police,WV,Arlington,8,1,?,2,3,YES,4950,Ford,F150,2011,N
26,1995-10-12,IL,500/1000,500,7.313913480179119,6000000,613826,MALE,PhD,craft-repair,polo,own-child,0,-36500,2015-02-13,Vehicle Theft,?,Minor Damage,Police,NC,Northbrook,5,1,NO,0,2,YES,5160,Accura,TL,2004,N
35,2014-04-25,IL,100/300,500,7.268390371172507,0,476203,FEMALE,College,exec-managerial,yachting,not-in-family,0,-19500,2015-02-22,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,Riverwood,11,3,NO,2,1,?,24570,Saab,95,2006,Y
38,2011-01-26,IN,100/300,2000,7.116597045585487,0,604333,FEMALE,PhD,craft-repair,movies,not-in-family,46500,0,2015-01-08,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Arlington,15,3,?,1,0,?,53680,Toyota,Camry,2011,N
49,1996-01-26,IN,500/1000,500,7.035647048786808,0,442604,MALE,Masters,farming-fishing,bungie-jumping,own-child,22700,0,2015-02-04,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Columbus,23,3,YES,1,1,YES,42900,Chevrolet,Malibu,2010,N
41,1991-04-08,OH,250/500,2000,6.853013941657793,5000000,435663,MALE,MD,protective-serv,chess,wife,38600,-42800,2015-02-04,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Arlington,23,1,NO,0,0,NO,84100,Ford,Escape,2009,Y
27,2002-06-29,IN,100/300,2000,7.02086965561239,0,470866,FEMALE,College,adm-clerical,dancing,own-child,0,-55800,2015-02-26,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Northbrook,23,1,?,1,3,?,61560,Ford,Fusion,2008,N
39,1999-04-09,IN,500/1000,2000,7.117189282432626,0,612908,FEMALE,Associate,other-service,hiking,not-in-family,0,-31700,2015-01-08,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,Hillsdale,10,1,YES,0,0,?,44240,Dodge,RAM,1997,N
33,2009-04-19,IN,500/1000,2000,6.914204438376316,0,441871,FEMALE,JD,protective-serv,hiking,own-child,58100,-49000,2015-02-15,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,VA,Columbus,12,4,?,2,3,YES,57700,Jeep,Grand Cherokee,2002,N
50,1991-08-22,OH,100/300,2000,7.012088266914116,0,431496,FEMALE,PhD,exec-managerial,exercise,not-in-family,68400,-66800,2015-01-14,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Springfield,4,1,NO,2,2,YES,108030,Saab,92x,2002,N
30,1991-11-28,IN,100/300,500,7.239494905880155,5000000,436499,FEMALE,High School,exec-managerial,dancing,unmarried,0,-65700,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,16,1,NO,2,0,YES,54300,Toyota,Highlander,2010,N
54,2012-04-27,IN,100/300,2000,7.1846064079552425,0,469853,MALE,High School,craft-repair,movies,wife,34700,-81000,2015-01-18,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Columbus,18,3,?,1,2,?,32280,Ford,Fusion,2010,Y
42,2007-03-04,IN,250/500,1000,7.370998608809656,0,605369,MALE,JD,machine-op-inspct,camping,other-relative,0,-53800,2015-01-15,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Riverwood,15,3,YES,1,1,NO,84600,Chevrolet,Malibu,2007,N
35,2012-12-31,IL,250/500,500,6.8035274549202445,6000000,448466,MALE,College,craft-repair,camping,own-child,0,-49900,2015-02-24,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Springfield,8,1,NO,1,3,YES,69700,BMW,3 Series,2008,N
33,2013-12-21,OH,100/300,1000,7.464876529573371,3000000,432786,MALE,JD,prof-specialty,movies,unmarried,0,0,2015-02-07,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,4,3,NO,0,1,NO,36400,Volkswagen,Jetta,1998,N
39,2005-04-28,OH,250/500,1000,7.14010432937574,0,473591,FEMALE,JD,adm-clerical,paintball,own-child,0,-54900,2015-02-22,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbrook,20,3,NO,0,2,YES,37520,Jeep,Wrangler,2010,N
33,1994-09-17,OH,500/1000,2000,6.929653747683253,0,618418,FEMALE,Masters,other-service,paintball,wife,69500,-47700,2015-01-19,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Northbend,1,3,NO,2,3,?,79090,Dodge,RAM,2014,N
54,2003-08-16,OH,250/500,2000,7.159361886796668,0,444558,MALE,JD,farming-fishing,board-games,not-in-family,48000,-79600,2015-02-28,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Springfield,19,1,NO,0,2,YES,67770,Mercedes,ML350,2013,Y
32,2014-09-02,OH,100/300,500,7.33828366268397,3000000,457733,MALE,JD,tech-support,chess,wife,0,0,2015-02-04,Single Vehicle Collision,Side Collision,Total Loss,Other,OH,Northbend,11,1,NO,1,0,NO,47400,Chevrolet,Silverado,2004,Y
40,2011-12-12,IN,100/300,1000,6.930905238880837,0,466161,MALE,PhD,other-service,skydiving,husband,50000,-56900,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Northbend,13,1,YES,0,2,?,71100,Audi,A3,2008,N
46,1991-08-17,OH,100/300,2000,7.352351352626642,0,450800,MALE,MD,other-service,dancing,wife,51100,-75100,2015-02-17,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,2,1,?,2,2,NO,69400,BMW,M5,2012,N
39,2004-02-29,OH,500/1000,500,7.4724268363782045,0,458993,MALE,High School,transport-moving,board-games,not-in-family,71400,0,2015-01-17,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Northbrook,9,3,YES,2,1,?,55000,Saab,93,1996,Y
52,2015-02-22,IN,250/500,1000,6.881924518947615,0,468634,MALE,PhD,machine-op-inspct,polo,not-in-family,50400,0,2015-02-02,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,Arlington,15,2,YES,1,3,YES,51090,Toyota,Highlander,2003,N
34,2013-12-25,OH,500/1000,500,7.266687672962084,0,461264,MALE,PhD,machine-op-inspct,camping,unmarried,0,0,2015-02-12,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,23,1,?,2,3,NO,64200,Honda,Civic,2007,Y
45,1990-10-13,IL,500/1000,500,7.084452716692536,0,600184,MALE,High School,sales,base-jumping,own-child,0,-40200,2015-01-04,Single Vehicle Collision,Front Collision,Total Loss,Other,NC,Riverwood,16,1,NO,2,0,YES,67320,Ford,Fusion,2006,N
31,2014-07-05,IL,250/500,500,7.06033043260526,0,604874,MALE,Associate,protective-serv,movies,husband,37700,0,2015-02-21,Multi-vehicle Collision,Side Collision,Major Damage,Other,NC,Arlington,21,4,YES,2,0,?,76120,Audi,A5,1999,N
28,1991-11-25,OH,500/1000,1000,6.911896691482687,0,462377,FEMALE,JD,farming-fishing,movies,other-relative,0,-38500,2015-01-23,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,SC,Hillsdale,21,2,YES,2,1,NO,85020,Ford,Fusion,2010,N
41,1990-10-02,OH,250/500,2000,7.051457275227703,6000000,619657,MALE,Masters,protective-serv,polo,unmarried,0,-57000,2015-02-12,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Northbrook,3,3,NO,0,1,?,68090,Toyota,Corolla,2009,N
27,2009-02-17,IL,100/300,1000,7.39762280815665,0,437323,FEMALE,High School,priv-house-serv,exercise,wife,0,0,2015-01-23,Parked Car,?,Trivial Damage,Police,WV,Arlington,4,1,?,1,2,NO,6030,Nissan,Pathfinder,2007,N
35,2005-07-17,IL,500/1000,1000,7.133678962145971,0,432148,MALE,MD,machine-op-inspct,yachting,wife,0,-55800,2015-02-10,Vehicle Theft,?,Minor Damage,Unknown,OH,Springfield,17,1,?,1,3,NO,5100,Chevrolet,Malibu,2000,N
30,1994-03-12,IN,100/300,1000,7.425512821388923,0,439690,MALE,College,sales,yachting,own-child,40100,0,2015-01-10,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,7,1,YES,1,3,YES,4590,Volkswagen,Jetta,2013,N
59,1994-08-03,IL,250/500,1000,6.888297192325014,0,601848,FEMALE,JD,exec-managerial,yachting,not-in-family,51700,0,2015-02-12,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,Columbus,14,2,?,1,2,NO,72400,Chevrolet,Tahoe,1999,Y
64,2012-08-25,IN,250/500,500,6.897947337991051,0,615821,MALE,Masters,other-service,skydiving,not-in-family,0,0,2015-02-21,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,13,1,NO,2,3,NO,70900,Mercedes,ML350,2002,N
25,2011-12-02,IL,500/1000,1000,7.237677539841657,0,472475,FEMALE,Associate,priv-house-serv,hiking,husband,0,0,2015-01-18,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,23,2,?,2,3,YES,65100,Saab,93,2011,N
40,2005-02-25,OH,100/300,500,7.118704784195641,0,457463,FEMALE,College,handlers-cleaners,chess,husband,0,0,2015-02-28,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,PA,Hillsdale,23,3,?,2,1,YES,64260,Ford,Escape,1999,N
43,1997-11-07,IL,500/1000,500,7.186439491835956,0,604861,FEMALE,Associate,armed-forces,yachting,not-in-family,0,0,2015-01-19,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,16,1,?,2,1,?,79970,Honda,CRV,1996,Y
41,2004-04-20,IN,100/300,1000,7.269679421738938,0,471519,FEMALE,College,machine-op-inspct,bungie-jumping,not-in-family,36600,0,2015-01-11,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Northbrook,17,1,NO,2,0,?,56610,Chevrolet,Tahoe,1995,N
30,2009-11-17,IN,500/1000,500,7.279001543703618,0,618682,FEMALE,JD,craft-repair,polo,wife,58600,0,2015-02-11,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Northbrook,9,1,YES,1,1,?,84590,Toyota,Highlander,2000,Y
38,2009-09-19,OH,250/500,500,7.458509057912981,0,441425,MALE,High School,sales,sleeping,wife,0,-43800,2015-01-09,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Hillsdale,13,3,NO,2,1,YES,66780,Mercedes,ML350,1996,N
36,2009-11-08,IN,100/300,500,7.335679613219846,0,609336,MALE,JD,farming-fishing,exercise,own-child,0,-28800,2015-01-20,Single Vehicle Collision,Rear Collision,Major Damage,Police,NC,Springfield,13,1,YES,1,2,YES,58500,Ford,Escape,2001,N
41,2001-09-12,IL,100/300,500,7.010104264531828,0,603320,FEMALE,College,prof-specialty,golf,other-relative,45500,-62500,2015-02-26,Parked Car,?,Trivial Damage,Police,WV,Columbus,3,1,?,2,0,NO,5000,Dodge,RAM,2003,N
29,1992-11-27,IL,100/300,500,6.904449821973411,5000000,615446,FEMALE,JD,priv-house-serv,chess,unmarried,0,0,2015-02-02,Parked Car,?,Trivial Damage,Police,PA,Springfield,3,1,?,2,1,?,5000,Mercedes,E400,2008,Y
41,1998-12-07,IL,250/500,1000,7.170004152176927,6000000,435967,FEMALE,High School,sales,camping,other-relative,71300,-70300,2015-01-04,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Columbus,16,3,?,1,3,YES,54450,Saab,92x,2007,N
38,1990-08-25,OH,250/500,1000,7.152840345011702,5000000,610246,FEMALE,Masters,handlers-cleaners,bungie-jumping,other-relative,0,0,2015-02-19,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Northbrook,12,3,NO,1,3,?,61920,Saab,93,2003,N
29,2011-10-22,OH,250/500,2000,7.0928064403469575,0,479327,MALE,High School,exec-managerial,cross-fit,other-relative,0,-61400,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Hillsdale,4,1,?,1,2,NO,43700,Nissan,Pathfinder,2007,Y
31,1990-02-01,IN,100/300,500,6.51162645185096,0,468300,MALE,Masters,machine-op-inspct,bungie-jumping,wife,0,-26400,2015-01-24,Single Vehicle Collision,Front Collision,Minor Damage,Other,NC,Riverwood,3,1,?,2,0,?,64080,Ford,Escape,1997,N
35,1990-11-27,IL,250/500,1000,7.214526488962681,0,612660,MALE,JD,sales,chess,own-child,59300,-31400,2015-02-17,Single Vehicle Collision,Rear Collision,Total Loss,Other,SC,Hillsdale,0,1,NO,2,1,?,55000,Volkswagen,Jetta,2008,Y
27,2004-07-16,IN,250/500,1000,6.917497667424701,4000000,466691,FEMALE,Masters,adm-clerical,video-games,own-child,46000,0,2015-01-13,Vehicle Theft,?,Trivial Damage,Police,WV,Columbus,19,1,NO,2,3,?,4400,Toyota,Camry,2000,N
27,1993-12-10,OH,100/300,1000,7.040623952056562,0,468515,MALE,JD,armed-forces,movies,other-relative,0,0,2015-02-28,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,15,2,?,0,1,YES,71640,Toyota,Highlander,2008,N
44,1995-03-08,OH,100/300,1000,7.242797922793756,0,614521,MALE,High School,machine-op-inspct,reading,not-in-family,0,0,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Other,NY,Arlington,6,1,NO,1,0,NO,61740,Accura,MDX,1997,N
27,2009-08-03,OH,500/1000,1000,7.417976720266645,0,465921,FEMALE,Associate,priv-house-serv,golf,own-child,0,-66200,2015-02-05,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,SC,Springfield,3,1,?,0,3,?,57500,Audi,A3,2010,N
39,1996-11-03,IN,250/500,1000,7.049593325630204,4000000,604555,FEMALE,Masters,exec-managerial,reading,wife,0,-63900,2015-01-01,Parked Car,?,Minor Damage,Police,NY,Springfield,17,1,YES,0,0,?,8700,Accura,RSX,2003,N
46,2004-08-09,OH,100/300,2000,7.344079314676285,0,616276,FEMALE,MD,adm-clerical,polo,wife,0,0,2015-01-06,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Riverwood,4,4,NO,2,1,?,77100,Volkswagen,Jetta,1996,N
57,1991-07-20,IL,250/500,500,6.970420170972329,0,463356,MALE,Masters,priv-house-serv,dancing,wife,0,0,2015-02-03,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,14,1,NO,2,0,YES,59400,Dodge,Neon,1995,N
46,2005-01-14,IN,100/300,1000,6.56546213369592,0,450184,MALE,Masters,machine-op-inspct,kayaking,husband,0,0,2015-02-12,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Northbrook,3,3,NO,1,0,NO,54890,Toyota,Corolla,2006,N
30,2011-12-16,IL,250/500,500,6.94750469849942,0,466393,MALE,MD,exec-managerial,kayaking,unmarried,55600,-59700,2015-02-16,Multi-vehicle Collision,Front Collision,Minor Damage,Other,WV,Columbus,4,3,?,2,1,?,74030,Chevrolet,Tahoe,2005,N
42,1996-07-07,IL,250/500,500,7.200715895375762,0,471786,FEMALE,Associate,adm-clerical,chess,not-in-family,0,0,2015-02-25,Single Vehicle Collision,Rear Collision,Total Loss,Other,NY,Columbus,13,1,?,1,2,YES,61490,BMW,X5,1998,N
27,1992-08-05,IN,250/500,1000,7.093196963112336,0,602289,MALE,High School,handlers-cleaners,board-games,not-in-family,57900,-90100,2015-01-21,Multi-vehicle Collision,Front Collision,Minor Damage,Police,SC,Northbrook,23,3,NO,0,2,YES,79560,Volkswagen,Passat,2003,N
33,1990-10-09,IL,100/300,2000,6.986723563515946,0,445120,MALE,MD,sales,yachting,wife,0,-65200,2015-01-28,Parked Car,?,Minor Damage,Police,NY,Northbend,3,1,?,0,1,NO,4900,Toyota,Camry,2010,N
